"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS1"
"TIMESTAMP","RECORD","BARO_P_SUR","HMP_M_RH","HMP_T_AIR","INK_G_INKS","INK_G_INKW","KT_T_SUR","OMB_N_N_001_Tot","OMB_N_N_002_Tot","PYG_R_LWDP","PYG_R_LWUP","PYG_T_BOT","PYG_T_TOP","PYR_R_SWDR","PYR_R_SWUR","SHF_F_SHF_001","SHF_F_SHF_002","SHF_F_SHF_003"
"TS","RN","hPa","%","Deg C","degree","degree","Deg C","mm/s","mm/s","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:49:51",74,1000.792,43.98389,5.913269,0.7741833,0.002781868,3.793543,0,0,-84.09731,-10.00401,6.602916,6.834336,97.7095,18.0552,66.7464,69.70311,63.47664
"2016-02-25 14:49:52",75,1000.792,43.84037,5.894135,0.7502832,0.01019859,3.797724,0,0,-84.09731,-10.83768,6.605134,6.813169,96.32355,18.74963,66.7464,69.65042,63.47664
"2016-02-25 14:49:53",76,1000.797,43.70687,5.851471,0.7758322,0.01761627,3.772638,0,0,-84.09731,-10.00401,6.57933,6.815387,97.01652,18.0552,66.7464,69.65042,63.47664
"2016-02-25 14:49:54",77,1000.772,43.56002,5.849274,0.7535801,0.01761627,3.785183,0,0,-83.80531,-11.25451,6.600698,6.874653,96.32355,17.36077,66.7464,69.65042,63.42115
"2016-02-25 14:49:55",78,1000.782,43.41483,5.877167,0.7626457,-0.002986908,3.772638,0,0,-83.80531,-10.42084,6.577315,6.834336,95.63057,18.0552,66.63571,69.65042,63.36567
"2016-02-25 14:49:56",79,1000.767,43.36477,5.874969,0.7824259,-0.03018475,3.772638,0,0,-83.5133,-10.83768,6.617632,6.859937,95.63057,18.74963,66.63571,69.65042,63.36567
"2016-02-25 14:49:57",80,1000.782,43.35309,5.872803,0.7502832,0.0134964,3.75592,0,0,-84.09731,-11.25451,6.621865,6.810952,95.63057,18.0552,66.63571,69.59773,63.36567
"2016-02-25 14:49:58",81,1000.782,43.31638,5.830139,0.7659426,0.03245163,3.760101,0,0,-84.09731,-9.587174,6.555947,6.857719,96.32355,17.36077,66.63571,69.59773,63.36567
"2016-02-25 14:49:59",82,1000.777,43.40649,5.934601,0.756876,-0.002986908,3.772638,0,0,-84.09731,-10.83768,6.596264,6.815387,95.63057,18.0552,66.63571,69.54505,63.31018
"2016-02-25 14:50:00",83,1000.792,43.56169,5.851471,0.7758322,0.03245163,3.76428,0,0,-83.80531,-10.83768,6.555947,6.836553,96.32355,17.36077,66.58036,69.54505,63.31018
"2016-02-25 14:50:01",84,1000.782,43.77362,5.874969,0.7486353,0.01432037,3.75592,0,0,-83.80531,-10.83768,6.560381,6.834336,97.01652,18.0552,66.52502,69.54505,63.25469
"2016-02-25 14:50:02",85,1000.787,43.96887,5.855835,0.6736374,-0.07798481,3.772638,0,0,-83.5133,-10.42084,6.581548,6.817604,94.93759,17.36077,66.52502,69.54505,63.25469
"2016-02-25 14:50:03",86,1000.787,44.16579,5.853638,0.7667665,-0.00628376,3.772638,0,0,-84.09731,-11.25451,6.602916,6.836553,97.01652,17.36077,66.52502,69.49236,63.25469
"2016-02-25 14:50:04",87,1000.797,44.32432,5.896301,0.7346249,-0.01122952,3.789364,0,0,-83.5133,-11.25451,6.598481,6.817604,96.32355,16.66634,66.52502,69.43968,63.25469
"2016-02-25 14:50:05",88,1000.787,44.44236,5.872803,0.731328,-0.03924942,3.785183,0,0,-83.80531,-10.83768,6.581548,6.836553,95.63057,18.0552,66.52508,69.43974,63.25475
"2016-02-25 14:50:06",89,1000.787,44.50911,5.894135,0.6876488,-0.05573273,3.76428,0,0,-83.80531,-10.83768,6.575098,6.815387,94.93759,17.36077,66.46973,69.43974,63.19926
"2016-02-25 14:50:07",90,1000.807,44.5258,5.900696,0.7131968,-0.01864624,3.76428,0,0,-83.80531,-10.83768,6.57933,6.836553,98.40247,18.0552,66.46973,69.43974,63.14377
"2016-02-25 14:50:08",91,1000.782,44.45905,5.874969,0.7362728,-0.05902958,3.772638,0,0,-83.80531,-10.83768,6.560381,6.815387,94.93759,16.66634,66.41438,69.38705,63.14377
"2016-02-25 14:50:09",92,1000.777,44.39397,5.874969,0.7502832,-0.009579659,3.781002,0,0,-83.80531,-10.83768,6.598481,6.83877,95.63057,16.66634,66.41438,69.33437,63.14377
"2016-02-25 14:50:10",93,1000.792,44.30386,5.891937,0.7609978,-0.004634857,3.785183,0,0,-83.80531,-10.83768,6.600698,6.813169,95.63057,16.66634,66.41438,69.38705,63.08828
"2016-02-25 14:50:11",94,1000.787,44.23377,5.874969,0.755228,0.01102257,3.789364,0,0,-83.80531,-9.170341,6.621865,6.794019,94.93759,18.0552,66.41438,69.33437,63.08828
"2016-02-25 14:50:12",95,1000.777,44.12696,5.894135,0.7197905,-0.02111816,3.793543,0,0,-83.5133,-10.83768,6.558164,6.813169,95.63057,17.36077,66.35904,69.33437,63.08828
