"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAX"
"TIMESTAMP","RECORD","HMP_D_AIR_Avg","HMP_M_AH_Avg","HMP_M_E_Avg","HMP_M_SH_Avg","HMP_T_VIR_Avg","LICOR_F_CD_Avg","LICOR_F_CWAH_Avg","PYG_R_LWDR_Avg","PYG_R_LWUR_Avg","PYG_R_QSUR_Avg","SHF_F_SHF_000_Avg","SONIC_F_CUW_Avg","SONIC_F_CVW_Avg","SONIC_F_CWT_Avg","SONIC_F_HSUR_Avg","SONIC_F_LSUR_Avg","SONIC_V_VHOR_Avg","SONIC_V_WD_Avg"
"TS","RN","kg/m**3","g/m**3","hPa","g/kg","K","mg/(m**2s)","g/(m**2s)","W/m**2","W/m**2","W/m**2","W/m**2","m**2/s**2","m**2/s**2","K m/s","W/m**2","W/m**2","m/s","degree"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-02-26 10:20:00",85,1.251544,3.662169,4.698926,2.92612,278.5783,-0.3925552,0.01064093,250.3176,360.3434,260.083,-96.55453,-0.002513047,-0.01746705,0.0374412,47.04675,26.60233,0.9195852,117.3518
"2016-02-26 10:30:00",86,1.251955,3.573569,4.583895,2.854391,278.4712,-0.2666413,0.01765362,249.7793,360.0587,251.2468,-96.11051,0.009982944,-0.00684163,0.04981216,62.61203,44.13406,0.4361459,82.64526
"2016-02-26 10:40:00",87,1.248355,3.630813,4.666239,2.908478,278.8174,-0.6190668,0.02367835,250.6555,362.266,263.7017,-95.67626,0.002368748,-0.03395094,0.07546408,94.5828,59.19587,0.6327651,81.74014
"2016-02-26 10:50:00",88,1.24737,3.662768,4.707201,2.936393,278.9854,-0.7638333,0.0241039,249.5256,364.5548,288.97,-95.06676,0.02138327,-0.07381429,0.06433752,80.57369,60.25976,0.5693469,35.81183
"2016-02-26 11:00:00",89,1.246492,3.653236,4.697577,2.930815,279.1668,-0.6931242,0.02946537,250.8942,366.8302,291.7298,-93.45689,0.00933075,-0.07995859,0.07744031,96.9148,73.66341,0.6818366,27.64624
"2016-02-26 11:10:00",90,1.245625,3.631799,4.672798,2.915645,279.3346,-0.3500187,0.02869681,252.4805,368.2698,290.1972,-89.1123,-0.04944268,-0.05751198,0.05560208,69.53636,71.74203,0.6310299,46.21931
"2016-02-26 11:20:00",91,1.244074,3.610634,4.650949,2.902265,279.639,-0.5476763,0.02978558,254.0891,370.0672,306.4082,-80.66489,-0.009137273,-0.07513902,0.08254009,103.0968,74.46395,0.7235057,56.6693
"2016-02-26 11:30:00",92,1.24447,3.532094,4.548071,2.838232,279.5436,-0.9828203,0.02264849,254.9231,364.3474,235.183,-68.23651,0.07371727,-0.01976577,0.07717471,96.42575,56.62123,0.8573685,107.4158
"2016-02-26 11:40:00",93,1.244057,3.54204,4.561854,2.847168,279.5839,-0.2836461,0.03276453,259.1684,366.8786,310.2368,-51.85881,-0.02717316,-0.04835354,0.06464531,80.74415,81.91133,0.7821928,105.2438
"2016-02-26 11:50:00",94,1.243304,3.434921,4.426304,2.762736,279.7392,-0.392009,0.02205711,261.9796,363.2531,233.752,-33.73447,-0.07763087,-0.06220623,0.0492512,61.47915,55.14278,0.6709296,68.38655
"2016-02-26 12:00:00",95,1.243158,3.336445,4.299771,2.683846,279.7362,-0.4906686,0.02732914,265.8298,358.5699,192.8159,-16.0731,-0.01250756,-0.05378094,0.06264295,78.18658,68.32285,0.7198074,32.03529
